site_id,rch_id,stream,samp_date,yr,project,type,panel_yr,huc6,site_name,group,order,region,forest,district,state,lat,long,mgmt,strm_flow,total_index,index_suspect,tds,bf,rch_len,grad,sin,pool_dp,pool_frq,pool_pct,wd_trans,wd_wet_trans,d50,pt_fines2,pt_fines6,stab,veg_stab,bank_angle,un_cut_pct,lw_frq,lw_vol,rich,cling,long_lvd,ct_qd,ephet,plect,trict,intol,rivpacs,temp_days,wmt_days,start_date,end_date,avg_temp,mdmt,mwmt,wmt9,wmt12,wmt15,wmt18,wmt22,aug_et_2000_2015_cpg_all,awc_int_100_cpg_all,baseflow_index_cpg_all,clay_100_cpg_all,dwta_cpg_all,fac_taudem_17all_int,impermeable_100_cpg_all,jul_et_2000_2015_cpg_all,nlcd_2011_forest_100_cpg_all,nlcd_2011_wetlands_100_cpg_all,permeable_100_cpg_all,sand_100_cpg_all,sep_et_2000_2015_cpg_all,silt_100_cpg_all,slope_percent_int_cpg_all,streamslope_percent_int_cpg_all,swe_avg_0301_cpg_all,swe_avg_0401_cpg_all,swe_avg_0501_cpg_all,swe_avg_0601_cpg_all,swe_avg_0701_cpg_all,swe_avg_0801_cpg_all,twi_100_int_cpg_all,us_precip_1981_2010_cpg_all,us_tmax_1981_2010_int_cpg_all,spatial_cluster,utm1,utm2,drain_density,ave_ann_cwd,ave_annual_precip,ave_basin_elev,MAP_UNIT_N
235,7335,Beefstraight,2013-07-22T00:00:00Z,2013,CRB,I,3,170102010206,053-01-I,053,01,R1,Beaverhead-Deerlodge,Butte,MT,45.982653,-112.817299,Managed,Flow (whole reach),41.91611,NA,280,5.73,144,2.174,1.23,0.23111110428969064,62.5,43.81944404708015,17.01,26.04,0.057,2.11,11.11,94.44,88.89,109,36.11,0,0,27,17,2,44,9,4,7,13,1.069749,48,42,2013-07-15T00:00:00Z,2013-08-31T00:00:00Z,10.745833292603493,15.899999618530273,15.38571412222726,42,42,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,10044,Beefstraight,2018-07-12T00:00:00Z,2018,CRB,I,3,170102010206,053-01-I,053,01,R1,Beaverhead-Deerlodge,Butte,MT,45.982653,-112.817299,Managed,Flow (whole reach),55.9213792560075,NA,180,5.32,154.4,2.147,1.392,0.36333333949248,38.860103626943,26.5544042994939,16.82,20.35,0.056,2.11,3.89,97.37,81.58,111,28.95,32.38,2.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,42,2018-07-15T00:00:00Z,2018-08-31T00:00:00Z,8.901866327143377,12.359999656677246,12.02857140132359,42,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,298,N.F. Dry Cottonwood,2003-07-21T00:00:00Z,2003,CRB,I,3,170102010404,053-02-I,053,02,R1,Beaverhead-Deerlodge,Pintler,MT,46.216644,-112.6154,Managed,NA,0,NA,120,1.43,163.6,2.702,1.332,0.14294117623392275,103.9119804400978,22.860635463649313,11.27,35.24,0.004,75.5,84.17,97.5,82.5,131,19.44,79.46,5.375,23,12,6,68,9,4,2,8,0.939,48,42,2003-07-15T00:00:00Z,2003-08-31T00:00:00Z,13.081163185338179,18.200000762939453,17.542857306344168,42,42,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,4145,N.F. Dry Cottonwood,2008-07-13T00:00:00Z,2008,CRB,I,3,170102010404,053-02-I,053,02,R1,Beaverhead-Deerlodge,Pintler,MT,46.216644,-112.6154,Managed,Flow (whole reach),20.84095,NA,110,3.09,155.9,2.752,1.203,0.1817142869744982,224.5028864656831,81.91148220842813,13.88,14.88,0.002,36.18,44.84,97.37,76.32,114,21.05,109.04,5.359,25,16,4,58,12,9,5,19,0.975,48,42,2008-07-15T00:00:00Z,2008-08-31T00:00:00Z,10.66258683345384,15.300000190734863,14.414285659790039,42,37,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,7336,N.F. Dry Cottonwood,2013-07-16T00:00:00Z,2013,CRB,I,3,170102010404,053-02-I,053,02,R1,Beaverhead-Deerlodge,Pintler,MT,46.216644,-112.6154,Managed,Flow (whole reach),1.726064,NA,180,1.87,166.9,2.648,1.328,0.17055555474427012,107.84901138406231,27.201916962201327,6.75,17.15,0.002,78.67,85.2,100,97.5,94,55,89.87,8.793,22,7,1,54,6,4,1,7,0.625737,48,42,2013-07-15T00:00:00Z,2013-08-31T00:00:00Z,11.975347210135725,17.700000762939453,16.642857142857142,42,42,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,10045,N.F. Dry Cottonwood,2018-07-15T00:00:00Z,2018,CRB,I,3,170102010404,053-02-I,053,02,R1,Beaverhead-Deerlodge,Pintler,MT,46.216644,-112.6154,Managed,Flow (whole reach),15.4396800650586,NA,120,2.12,163.6,2.589,1.315,0.22315789210168938,116.13691931540343,44.6210272591971,7.24,6.9,0.008,25.59,33.92,97.5,90,109,30,18.34,1.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,42,2018-07-15T00:00:00Z,2018-08-31T00:00:00Z,10.392170135759645,14.649999618530273,13.839999880109515,42,31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,299,Browns Gulch,2003-07-16T00:00:00Z,2003,CRB,I,3,170102010101,053-04-I,053,04,R1,Beaverhead-Deerlodge,Butte,MT,46.134697,-112.577477,Managed,NA,0,NA,60,2.83,164.5,0.699,1.251,0.27866666615009306,91.1854103343465,51.61094216227894,16.88,38.81,0.004,72.5,85.83,100,95,108,35.9,91.19,4.869,30,18,9,61,11,7,8,15,0.897,48,42,2003-07-15T00:00:00Z,2003-08-31T00:00:00Z,13.60104166302416,19.200000762939453,18.41428565979004,42,42,36,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,4146,Browns Gulch,2008-07-08T00:00:00Z,2008,CRB,I,3,170102010101,053-04-I,053,04,R1,Beaverhead-Deerlodge,Butte,MT,46.134697,-112.577477,Managed,Flow (whole reach),6.301076,NA,70,5.2,176.3,0.431,1.113,0.36142857159887043,79.41009642654566,67.38513907585642,26.05,28.89,0.004,76.64,87.73,95.45,81.82,108,25,136.13,8.903,27,20,7,66,12,5,7,18,0.807,48,42,2008-07-15T00:00:00Z,2008-08-31T00:00:00Z,10.284982678790888,14,13.5,42,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,7337,Browns Gulch,2013-07-19T00:00:00Z,2013,CRB,I,3,170102010101,053-04-I,053,04,R1,Beaverhead-Deerlodge,Butte,MT,46.134697,-112.577477,Managed,Flow (whole reach),2.275635,NA,110,4.83,162.3,0.665,1.263,0.2074999988079071,123.22858903265558,59.70425188578137,14.6,18.55,0.0045,22.42,29.44,97.5,85,130,10.26,36.97,7.985,27,14,5,67,6,3,4,10,0.971783,48,42,2013-07-15T00:00:00Z,2013-08-31T00:00:00Z,13.0093749753303,19,18.385714394705637,42,42,39,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,10046,Browns Gulch,2018-07-14T00:00:00Z,2018,CRB,I,3,170102010101,053-04-I,053,04,R1,Beaverhead-Deerlodge,Butte,MT,46.134697,-112.577477,Managed,Flow (whole reach),17.512530904707,NA,70,3.07,164,0.741,1.3,0.3517646999920116,103.65853658536585,74.69512078820205,9.49,12.53,0.0085,47.12,57.48,100,87.5,114,20,48.78,5.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,42,2018-07-15T00:00:00Z,2018-08-31T00:00:00Z,10.28638888647159,15.5600004196167,14.025714465550013,42,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
