Huc 4th Name,Huc 5th Name,Huc 6th Code,Huc 6th Name,Total HUC Area   ,FS HUC Area,Total Perennial Stream Length,Total ECA Area,Perennial Stream Length Under Non-shading Covertypes,0 - 2% Gradient Perennial Stream Length,0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Perennial Stream Length w/in 300' of Roads,Total Road Length,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of HUC over External FS Boundary ,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density Rating,Barriers by Stream Order  Rating,RCA,Drainage Network,Road Density / Location,Barriers,Large Woody Debris,Sediment,Embeddedness,Temperature,Off-channel Habitat,Floodplain Connectivity,Streambank Stability,Width-Depth Ratio,Peak/Base Flows,Pool Frequency/Quality,Large Pools,INTEGRATED 6th Level HUC Rating
North Fork Flathead,Kintla Lake-North Fork Flathead River,170102060408,Red Meadow Creek,19256.16992,18350.33398,27.8274765,264.7944799,9.140785217,6.891184807,0,7.62945509,31.68375015,2,1,95.29586651,1.442995425,32.84805655,0,27.41698511,1.105026215,2,1,FA,FUR,FA,FUR,FAR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
North Fork Flathead,Kintla Lake-North Fork Flathead River,170102060411,Hay Creek,27349.70703,24552.16602,38.33940506,138.9040007,0.802423179,8.878108025,0,3.50208497,23.46545219,1,0,89.77122127,0.565750495,2.092946351,0,9.134427008,0.611672689,1,0,FA,FA,FA,FAR,FA,FAR,FAR,FA,FAR,FAR,FA,FA,FA,FA,FAR,FAR,FA,FA,FA,FA,FA,FAR
North Fork Flathead,Kintla Lake-North Fork Flathead River,170102060412,Fork Creek-North Fork Flathead River,37721.69531,8012.538574,13.19368935,402.0613439,5.197379112,7.084658623,0,2.524388075,27.79545021,0,0,21.24119425,5.017902131,39.39291714,0,19.13329933,2.220156318,0,0,FA,FUR,FA,FUR,FAR,FA,FUR,FAR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
North Fork Flathead,Coal Creek-North Fork Flathead River,170102060504,South Fork Coal Creek,11844.80273,11012.80762,16.36015892,305.1361284,0,0,0,2.148332834,13.14603519,0,0,92.97586346,2.770738753,0,0,13.13149123,0.763970716,0,0,FA,FA,FA,FAR,FA,FA,FAR,FA,FAR,FA,FA,FA,FA,FA,FAR,FAR,FA,FA,FA,FA,FA,FA
North Fork Flathead,Coal Creek-North Fork Flathead River,170102060505,Upper Coal Creek,14955.20898,13876.76172,19.35149765,197.7136639,0,3.510593176,0,6.387178421,35.77512741,0,0,92.78881849,1.424782438,0,0,33.0061194,1.649958543,0,0,FA,FA,FA,FUR,FAR,FA,FAR,FAR,FUR,FA,FAR,FUR,FUR,FA,FAR,FUR,FAR,FAR,FAR,FAR,FAR,FUR
North Fork Flathead,Coal Creek-North Fork Flathead River,170102060506,Cyclone Creek,8375.782227,3704.647217,4.196962357,27.85343891,1.069464445,0,0,0.814015746,3.959350348,0,0,44.2304625,0.751851318,25.48186889,0,19.39535495,0.684001492,0,0,FA,FUR,FA,FUR,FA,FA,FUR,FA,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FAR,FAR,FA,FUR,FUR,FUR
North Fork Flathead,Coal Creek-North Fork Flathead River,170102060507,Lower Coal Creek,17346.92578,11737.56738,17.20618439,935.4176968,3.206737518,1.661198854,0,1.106822491,10.95095825,0,0,67.66367442,7.969434094,18.63712167,0,6.432701555,0.597109525,0,0,FA,FAR,FA,FAR,FA,FA,FAR,FA,FAR,FA,FAR,FA,FA,FA,FAR,FAR,FA,FA,FA,FAR,FAR,FA
North Fork Flathead,Coal Creek-North Fork Flathead River,170102060509,Winona Ridge-North Fork Flathead River,16870.92578,3857.144531,7.024116039,552.3971308,1.922225356,1.685770988,0,0.811343133,5.259798527,0,0,22.86267263,14.32140088,27.36608201,0,11.5508219,0.872736562,0,0,FA,FUR,FA,FAR,FA,FA,FAR,FA,FAR,FA,FUR,FA,FA,FUR,FUR,FAR,FA,FA,FA,FAR,FAR,FUR
North Fork Flathead,Camas Creek-North Fork Flathead River,170102060603,Hallowat Creek,18001.39648,17615.31836,19.98327065,432.5338404,0.366226971,3.737202883,0,5.460623741,21.91639519,0,0,97.85528792,2.455441518,1.832667823,0,27.325976,0.796266785,0,0,FA,FA,FA,FUR,FA,FA,FAR,FA,FUR,FA,FAR,FAR,FAR,FA,FAR,FUR,FA,FA,FA,FAR,FAR,FAR
North Fork Flathead,Camas Creek-North Fork Flathead River,170102060604,Upper Big Creek,16108.90137,16108.90137,23.944664,134.9298222,0,0.351147354,0,4.416946411,24.72326851,0,0,100,0.837610332,0,0,18.4464748,0.98224525,0,0,FA,FA,FA,FUR,FA,FA,FAR,FA,FUR,FA,FAR,FAR,FAR,FA,FAR,FUR,FA,FA,FA,FAR,FAR,FAR
North Fork Flathead,Camas Creek-North Fork Flathead River,170102060605,Lower Big Creek,18299.02344,18299.01953,27.54476357,2011.835526,2.545814991,8.243268013,0,4.357899189,41.55269623,0,0,99.99997865,10.9942258,9.242464489,0,15.82115301,1.453286912,0,0,FA,FA,FA,FUR,FAR,FA,FAR,FAR,FUR,FA,FAR,FUR,FUR,FA,FAR,FUR,FAR,FAR,FAR,FAR,FAR,FUR
North Fork Flathead,Camas Creek-North Fork Flathead River,170102060606,Canyon Creek,19029.71289,18233.11523,23.8287487,975.9043479,8.196956635,0.592066169,0,8.449911118,66.09140015,1,0,95.81392709,5.352373061,34.39944219,0,35.46099387,2.319872142,1,0,FA,FUR,FA,FUR,FAR,FAR,FUR,FAR,FUR,FAR,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
North Fork Flathead,Camas Creek-North Fork Flathead River,170102060607,Deep Creek-North Fork Flathead River,22853.16602,8269.408203,4.699234009,866.6632331,1.40516758,0.665456831,0,0.640910268,35.95295334,0,0,36.18495659,10.48035375,29.90205589,0,13.63861146,2.78253166,0,0,FA,FUR,FA,FAR,FUR,FA,FAR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Middle Fork Flathead,Headwaters Middle Fork Flathead River ,170102070101,Strawberry Creek,17307.59766,17323.67188,22.09884071,4286.936989,0,8.727781296,0,0,0,0,0,100.0928738,24.74612207,0,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Middle Fork Flathead,Headwaters Middle Fork Flathead River ,170102070102,Trail Creek,12498.03906,12492.33398,20.23313904,2260.757547,0,1.903275132,0,0,0,0,0,99.95435221,18.09715903,0,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Middle Fork Flathead,Headwaters Middle Fork Flathead River ,170102070103,Bowl Creek,18432.85938,18432.52344,26.4243412,5615.40688,0,9.177009583,0,0,0,0,0,99.99817751,30.46466697,0,0,0,0,0,0,FAR,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FAR,FAR,FA,FA,FAR,FAR,FAR,FAR,FA,FA,FAR
Middle Fork Flathead,Headwaters Middle Fork Flathead River ,170102070104,Cox Creek,12420.10352,12415.28223,20.22490883,2.299922734,0,4.655150414,0,0,0,0,0,99.96118157,0.018524933,0,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Middle Fork Flathead,Headwaters Middle Fork Flathead River ,170102070105,Schafer Creek,16136.85645,16136.85645,28.36745644,0,2.252995968,7.259095192,0,0,0,0,0,100,0,7.942185345,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Middle Fork Flathead,Headwaters Middle Fork Flathead River ,170102070106,Dolly Varden Creek,16467.00977,16467.00977,28.15519333,0,0.066391937,7.747303009,0,0,0,0,0,100,0,0.235807074,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Middle Fork Flathead,Headwaters Middle Fork Flathead River ,170102070107,Clack Creek Middle Fork Flathead River,37602.01953,37602.01953,64.4309845,1463.192581,0.5228104,24.74298668,0,0,0,0,0,100,3.891260628,0.811426992,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Middle Fork Flathead,Morrison Creek-Middle Fork Flathead River,170102070201,Morrison Creek,32302.24219,32311.58203,62.778965,226.5846157,0.422352016,13.06871414,0,0.790934622,5.572134972,0,0,100.0289139,0.701248907,0.6727604,0,1.259872033,0.110368052,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Middle Fork Flathead,Morrison Creek-Middle Fork Flathead River,170102070202,Lake Creek-Middle Fork Flathead River,26637.56641,26490.42578,48.09303665,0,9.672534943,14.89841461,0,0,0,0,0,99.44761987,0,20.11213185,0,0,0,0,0,FA,FAR,FA,FA,FA,FA,FA,FA,FA ,FA,FAR,FA,FA,FA,FAR,FA,FA,FA,FA,FAR,FAR,FA
Middle Fork Flathead,Morrison Creek-Middle Fork Flathead River,170102070203,Granite Creek,18340.46875,18339.7793,42.8704567,338.0748585,0.133045509,7.154250622,0,2.796557903,21.56098938,2,0,99.99624081,1.843396548,0.310343112,0,6.523275278,0.752409992,2,0,FA,FA,FA,FAR,FA,FAR,FAR,FA,FAR,FAR,FA,FA,FA,FA,FAR,FAR,FA,FA,FA,FA,FA,FAR
Middle Fork Flathead,Morrison Creek-Middle Fork Flathead River,170102070204,Twentyfivemile Creek,12941.90918,12881.63574,25.59624672,24.54399927,0.289054304,1.615632415,0,0.667110503,6.320599556,0,0,99.53427708,0.190534803,1.129283944,0,2.606282515,0.314027178,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Middle Fork Flathead,Morrison Creek-Middle Fork Flathead River,170102070205,Long Creek,14076.65527,14076.65527,23.54360771,257.1123123,0.932433546,3.927822828,0,0,0,0,0,100,1.826515655,3.960453117,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Middle Fork Flathead,Morrison Creek-Middle Fork Flathead River,170102070206,Cy Creek-Middle Fork Flathead River,17404.61133,17404.60938,30.01780701,115.011322,3.469679594,9.535527229,0,0,0,0,0,99.99998878,0.660809556,11.55873776,0,0,0,0,0,FA,FAR,FA,FA,FA,FA,FA,FA,FA ,FA,FAR,FA,FA,FA,FAR,FA,FA,FA,FA,FAR,FAR,FA
Middle Fork Flathead,Morrison Creek-Middle Fork Flathead River,170102070207,Dirtyface Creek-Middle Fork Flathead River,23232.82813,23232.82813,40.8866806,25.84472561,9.664626122,7.450484276,0,0.045236494,0,0,0,100,0.111242271,23.63759048,0,0.110638706,0,0,0,FA,FAR,FA,FA,FA,FA,FA,FA,FA ,FA,FAR,FA,FA,FA,FAR,FA,FA,FA,FA,FAR,FAR,FA
Middle Fork Flathead,Stanton Creek-Middle Fork Flathead River,170102070301,Bear Creek,36256.86328,23501.61719,46.35926056,836.6564911,11.81374168,6.262052536,0,12.02555466,30.14812469,4,1,64.81977496,3.559995401,25.48302441,0,25.93991904,0.820998813,4,1,FA,FUR,FA,FUR,FA,FUR,FUR,FA,FUR,FUR,FUR,FUR,FUR,FA,FUR,FUR,FAR,FAR,FA,FUR,FUR,FUR
Middle Fork Flathead,Stanton Creek-Middle Fork Flathead River,170102070302,Essex Creek-Middle Fork Flathead River,20334.95508,17447.9375,29.96277428,23.17922366,5.725372791,3.78908205,0,1.271533132,2.79541254,1,0,85.80268524,0.132847929,19.10828663,0,4.243709611,0.102537278,1,0,FA,FAR,FA,FA,FA,FAR,FA,FA,FA ,FAR,FAR,FA,FA,FA,FAR,FA,FA,FA,FA,FAR,FAR,FAR
Middle Fork Flathead,Stanton Creek-Middle Fork Flathead River,170102070305,Dickey Creek-Middle Fork Flathead River,19131.55859,12792.42871,19.81258202,106.8965085,4.506224632,4.732712746,0,3.603441,10.61794472,0,0,66.86558572,0.83562325,22.7442573,0,18.18763954,0.531211451,0,0,FA,FAR,FA,FUR,FA,FA,FAR,FA,FUR,FA,FUR,FAR,FAR,FA,FUR,FUR,FA,FA,FA,FAR,FAR,FAR
Middle Fork Flathead,Stanton Creek-Middle Fork Flathead River,170102070307,Stanton Creek-Middle Fork Flathead River,30326.47656,17216.86133,30.48264122,82.41531925,6.333206177,6.940944672,0,1.845786572,8.791705132,1,0,56.7717166,0.478689569,20.77643512,0,6.055205512,0.326812836,1,0,FA,FAR,FA,FAR,FA,FAR,FAR,FA,FAR,FAR,FAR,FA,FA,FAR,FAR,FAR,FA,FA,FA,FAR,FAR,FAR
Middle Fork Flathead,Harrison Lake-Middle Fork Flathead River,170102070405,Deerlick Creek-Middle Fork Flathead River,35701.76953,23472.58398,44.181633,151.2196907,18.28796577,14.23938656,0,6.760228634,28.31512642,1,0,65.74627614,0.64423964,41.39268862,0,15.30099314,0.772036045,1,0,FA,FUR,FA,FUR,FA,FAR,FUR,FA,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FAR,FAR,FA,FUR,FUR,FUR
Flathead Lake,Ashley Creek,170102080101,Ashley Lake,21422.95898,4525.016113,4.055098057,370.165727,4.05509758,0.286679149,0,1.375427485,23.37972641,0,0,21.12227408,8.180428925,99.99998824,0,33.91847658,3.30673406,0,0,FA,FUR,FA,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Flathead Lake,Ashley Creek,170102080102,Upper Ashley Creek,15585.93066,1279.840332,0,10.42464867,0,0,0,0,2.705944061,0,0,8.211510494,0.814527282,0,0,0,1.353140822,0,0,FA,FA,FA,FA,FAR,FA,FA,FAR,FA,FA,FA,FAR,FAR,FAR,FA,FAR,FAR,FAR,FAR,FA,FA,FAR
Flathead Lake,Ashley Creek,170102080103,Mount Creek,31100.20508,7133.436035,0,547.7060871,0,0,0,0,54.28520584,0,0,22.93694211,7.678012173,0,0,0,4.870378253,0,0,FA,FA,FA,FA,FUR,FA,FA,FUR,FAR,FA,FA,FUR,FUR,FA,FA,FUR,FUR,FUR,FUR,FAR,FAR,FUR
Flathead Lake,Ashley Creek,170102080104,Truman Creek,23740.95898,13479.64063,8.427678108,782.4059259,3.751456261,0,0,5.43243885,99.82321167,0,0,56.77799551,5.804353007,44.51352095,0,64.45949621,4.739507324,0,0,FA,FUR,FA,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Flathead Lake,Ashley Creek,170102080105,Middle Ashley Creek,36797.1875,4078.644043,0,332.5974461,0,0,0,0,27.73318291,0,0,11.08411898,8.154608311,0,0,0,4.351749472,0,0,FA,FA,FA,FA,FUR,FA,FA,FUR,FAR,FA,FA,FUR,FUR,FA,FA,FUR,FUR,FUR,FUR,FAR,FAR,FUR
Flathead Lake,Ashley Creek,170102080106,Patrick Creek,14022.95508,2830.493896,0.255723089,362.3873258,0.255723149,0,0,0.253064483,23.71636963,0,0,20.18471771,12.80297146,100.0000233,0,98.96035763,5.36248341,0,0,FA,FUR,FA,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Flathead Lake,Ashley Creek,170102080107,Spring Creek,35568.53906,1893.953003,0.666984022,50.15363118,0.666984022,0,0,0.618133485,3.013483524,0,0,5.324798411,2.648092699,100,0,92.67590605,1.018309035,0,0,FA,FUR,FA,FUR,FAR,FA,FUR,FAR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Flathead Lake,City of Columbia Falls-Flathead River,170102080201,Abbot Creek-Flathead River,39890.85156,25805.25391,17.55346298,742.2754191,15.18010521,3.66828537,0,6.66631794,114.2293396,2,0,64.68965413,2.876450749,86.47926181,0,37.9772239,2.833019106,2,0,FA,FUR,FA,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Flathead Lake,City of Columbia Falls-Flathead River,170102080202,Cedar Creek,12089.56152,7133.062012,7.460931301,172.1697937,5.907215595,0.918106496,0,3.075438499,24.48471832,0,0,59.00182565,2.413687045,79.17531146,0,41.2205712,2.196843333,0,0,FA,FUR,FA,FUR,FAR,FA,FUR,FAR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Flathead Lake,City of Columbia Falls-Flathead River,170102080203,Gooderich Bayou-Flathead River,24903.30664,3521.663086,3.216133595,19.2116106,1.307823658,1.3475492,0,0,2.618064642,0,0,14.14134732,0.545526649,40.66446929,0,0,0.475786959,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FUR,FUR,FA,FA,FA,FA,FAR,FAR,FUR
Flathead Lake,City of Columbia Falls-Flathead River,170102080204,Trumbull Creek-Spring Creek,23219.42188,2415.324463,2.387267828,50.14558386,2.387267828,0.684479177,0,0.332598239,8.595932007,0,0,10.40217313,2.076142756,100,0,13.93217113,2.27770495,0,0,FA,FUR,FA,FAR,FAR,FA,FAR,FAR,FAR,FA,FUR,FAR,FAR,FAR,FUR,FAR,FAR,FAR,FAR,FUR,FUR,FUR
Flathead Lake,City of Columbia Falls-Flathead River,170102080205,Egan Slough-Flathead River,27172.6543,25.87133598,0.345209271,0,0.345209181,0.345209271,0,0,0,0,0,0.095210927,0,99.9999741,0,0,0,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FUR,FUR,FA,FA,FA,FA,FAR,FAR,FUR
Flathead Lake,City of Columbia Falls-Flathead River,170102080206,Lake Blaine,18923.30078,10040.08789,13.36371899,24.54169941,0,0,0,0.464123517,6.326868534,0,0,53.05674738,0.244437097,0,0,3.47301165,0.40330283,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,UNK,FA,FA,FA,FA,FA,FA,FA,FUR
Flathead Lake,City of Columbia Falls-Flathead River,170102080207,Mill Creek,20988.68945,3903.49292,3.970834255,43.15813446,0,0,0,1.31013608,11.12943935,0,0,18.5980784,1.105628609,0,0,32.99397546,1.824735265,0,0,FA,FA,FA,FUR,FAR,FA,FAR,FAR,FUR,FA,FAR,FUR,FUR,UNK,FAR,FUR,FAR,FAR,FAR,FAR,FAR,FUR
Flathead Lake,City of Columbia Falls-Flathead River,170102080208,Rose Creek-Frontal Flathead River,32988.16797,6836.663574,10.3319912,41.22487736,1.580978036,0,0,1.711475611,10.54737759,0,0,20.72459307,0.602997016,15.3017749,0,16.56481871,0.987370752,0,0,FA,FAR,FA,FUR,FA,FA,FAR,FA,FUR,FA,FUR,FAR,FAR,FAR,FUR,FUR,FA,FA,FA,FAR,FAR,FAR
Flathead Lake,Lake Mary Ronan-Frontal Flathead Lake,170102080301,Town of Somers-Flathead Lake,23111.64063,1813.460938,0,322.2917527,0,0,0,0,7.210724354,0,0,7.846526203,17.77219162,0,0,0,2.54478246,0,0,FA,FA,FA,FA,FUR,FA,FA,FUR,FAR,FA,FA,FUR,FUR,UNK,FA,FUR,FUR,FUR,FUR,FAR,FAR,FUR
Flathead Lake,Lake Mary Ronan-Frontal Flathead Lake,170102080302,Stoner Creek,14467.96777,8892.017578,4.271149158,1129.787556,3.42964983,0.093504712,0,1.356003046,53.57742691,0,0,61.46003169,12.70563791,80.29805803,0,31.74796748,3.856217436,0,0,FA,FUR,FA,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Flathead Lake,Lake Mary Ronan-Frontal Flathead Lake,170102080304,Dayton Creek,14666.87695,3487.928223,2.079629421,199.1338884,2.079629421,0,0,0.343735844,21.98257828,0,0,23.78098783,5.70923126,100,0,16.52870653,4.033583606,0,0,FA,FUR,FA,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Flathead Lake,Lake Mary Ronan-Frontal Flathead Lake,170102080305,Lake Mary Ronan-Ronan Creek,30305.39453,4635.380371,3.89935565,270.597277,0.220782414,0,0,1.488389015,34.23562241,0,0,15.29556187,5.837649887,5.662023008,0,38.17012729,4.726860923,0,0,FA,FA,FA,FUR,FUR,FA,FAR,FUR,FUR,FA,FAR,FUR,FUR,FA,FAR,FUR,FUR,FUR,FUR,FAR,FAR,FUR
Flathead Lake,Finley Point-Frontal Flathead Lake,170102080401,Town of Woods Bay-Frontal Flathead Lake,24070.81055,17279.98828,24.21015549,465.5612439,1.460927248,0.08546976,0,6.481539249,59.10074615,0,0,71.7881446,2.694221989,6.034357147,0,26.77198522,2.188918009,0,0,FA,FA,FA,FUR,FAR,FA,FAR,FAR,FUR,FA,FAR,FUR,FUR,FA,FAR,FUR,FAR,FAR,FAR,FAR,FAR,FUR
South Fork Flathead,Danaher Creek,170102090101,Upper Danaher Creek,32747.8418,32755.36328,52.0250473,1118.047097,13.82130337,10.88413334,0,0,0,0,0,100.0229679,3.413325285,26.56663297,0,0,0,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FA,FUR,FA,FA,FA,FA,FAR,FAR,FA
South Fork Flathead,Danaher Creek,170102090102,Rapid Creek,14219.35352,14210.25977,13.98354053,127.5695,0,1.805881023,0,0,0,0,0,99.93604667,0.897728135,0,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
South Fork Flathead,Danaher Creek,170102090103,Basin Creek,11722.11621,11717.86035,13.38640594,0,1.059669137,2.617719889,0,0,0,0,0,99.96369376,0,7.916009281,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
South Fork Flathead,Danaher Creek,170102090104,Babcock Creek,16970.66602,16965.04297,20.3664875,4658.326456,3.326959848,6.200614452,0,0,0,0,0,99.96686608,27.45838289,16.33546211,0,0,0,0,0,FAR,FAR,FA,FA,FA,FA,FA,FA,FA ,FA,FAR,FAR,FAR,FA,FAR,FAR,FAR,FAR,FAR,FAR,FAR,FAR
South Fork Flathead,Danaher Creek,170102090105,Upper Youngs Creek,32979.375,33020.78516,38.52503204,11881.62616,13.78009892,7.898625374,0,0,0,0,0,100.1255638,35.98226423,35.76920819,0,0,0,0,0,FAR,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FAR,FAR,FA,FUR,FAR,FAR,FAR,FAR,FUR,FUR,FAR
South Fork Flathead,Danaher Creek,170102090106,Lower Youngs Creek,27786.14453,27782.93555,41.06787872,6500.551488,13.26316833,10.6751976,0,0,0,0,0,99.98845113,23.39764089,32.29572295,0,0,0,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FA,FUR,FA,FA,FA,FA,FAR,FAR,FA
South Fork Flathead,Danaher Creek,170102090107,Lower Danaher Creek,25100.0957,25106.81836,36.89086151,1174.729294,10.45522308,13.81883907,0,0,0,0,0,100.0267834,4.678925369,28.34095669,0,0,0,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FA,FUR,FA,FA,FA,FA,FAR,FAR,FA
South Fork Flathead,Headwaters South Fork Flathead River,170102090201,Upper Gordon Creek,18993.46875,18776.65234,22.59120178,1.99451146,9.311758995,2.213188171,0,0,0.066149682,0,0,98.85846862,0.010622295,41.21851987,0,0,0.002254704,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FA,FUR,FA,FA,FA,FA,FAR,FAR,FA
South Fork Flathead,Headwaters South Fork Flathead River,170102090202,Lower Gordon Creek,23570.0918,23570.0918,35.88903427,1371.458637,14.00223732,14.33903599,0,0,0,0,0,100,5.818639355,39.0153639,0,0,0,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FAR,FUR,FA,FA,FA,FA,FAR,FAR,FAR
South Fork Flathead,Headwaters South Fork Flathead River,170102090203,Bartlett Creek,16724.25,16724.25,29.49642754,1278.46228,0.067184329,0.949888408,0,0,0,0,0,100,7.64436241,0.227771071,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
South Fork Flathead,Headwaters South Fork Flathead River,170102090204,Cayuse Creek-South Fork Flathead River,23931.42383,23930.81055,35.47630692,648.5915298,11.49236774,13.37894917,0,0,0,0,0,99.99743734,2.710278152,32.39448732,0,0,0,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FA,FUR,FA,FA,FA,FA,FAR,FAR,FA
South Fork Flathead,Headwaters South Fork Flathead River,170102090205,Holbrook Creek,10857.07422,10857.07422,9.413543701,281.324646,2.55698204,0.53578639,0,0,0,0,0,100,2.591164436,27.16279991,0,0,0,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FA,FUR,FA,FA,FA,FA,FAR,FAR,FA
South Fork Flathead,Headwaters South Fork Flathead River,170102090206,Burnt Creek-South Fork Flathead River,16948.37305,16948.37305,31.39341927,334.3783264,12.97628784,7.557604313,0,0,0,0,0,100,1.972922861,41.33442022,0,0,0,0,0,FA,FUR,FA,FA,FA,FA,FAR,FA,FA ,FA,FUR,FA,FA,FAR,FUR,FA,FA,FA,FA,FAR,FAR,FAR
South Fork Flathead,Headwaters South Fork Flathead River,170102090207,Upper White River,19632.04492,19629.9082,15.47645855,69.06706977,0,5.944987774,0,0,0,0,0,99.98911617,0.351846117,0,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
South Fork Flathead,Headwaters South Fork Flathead River,170102090208,Middle White River,15846.1709,15856.07129,11.98670959,21.63868791,0.737141252,2.945399523,0,0,0,0,0,100.0624781,0.136469416,6.149654713,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
South Fork Flathead,Headwaters South Fork Flathead River,170102090209,South Fork White River,10606.25879,10603.49512,12.54941368,69.75002956,0.394904494,0.163746178,0,0,0,0,0,99.97394301,0.657802251,3.146796371,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
