Huc 4th Name,Huc 5th Name,Huc 6th Code,Huc 6th Name,Total HUC Area   ,FS HUC Area,Total Perennial Stream Length,Total ECA Area,Perennial Stream Length Under Non-shading Covertypes,0 - 2% Gradient Perennial Stream Length,0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Perennial Stream Length w/in 300' of Roads,Total Road Length,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of HUC over External FS Boundary ,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density Rating,Barriers by Stream Order  Rating,RCA,Drainage Network,Road Density / Location,Barriers,Large Woody Debris,Sediment,Embeddedness,Temperature,Off-channel Habitat,Floodplain Connectivity,Streambank Stability,Width-Depth Ratio,Peak/Base Flows,Pool Frequency/Quality,Large Pools,INTEGRATED 6th Level HUC Rating
Upper Clark Fork,Warm Springs Creek-Clark Fork ,170102010404,Dry Cottonwood Creek,14977.77344,8484.143555,11.27074718,256.2475849,9.406383514,0,0,7.110453129,44.34476089,2,0,56.64489177,3.020311753,83.45838447,0,63.0876819,3.345139882,2,0,FA,FUR,FA,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Upper Clark Fork,Gold Creek- Clark Fork ,170102010810,Dunkleberg Creek-Clark Fork,28056.66016,3378.757324,4.688261986,98.20601302,1.797293663,0.079799689,0.079799689,2.719158888,19.19232941,4,0,12.04262127,2.906571961,38.33603302,100,57.99929475,3.63538711,4,0,FA,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Flint-Rock,East Fork Rock Creek,170102020701,East Fork Reservoir,19471.45703,19292.74219,23.77713013,19.4985617,0.021324268,3.165640354,0.574607372,0.275506139,4.700469494,0,0,99.08217017,0.101066824,0.089683944,18.1513788,1.158702238,0.155929129,0,0,FA,FA,FAR,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
Flint-Rock,East Fork Rock Creek,170102020703,East Fork Rock Creek,16694.0957,4234.748535,3.748052359,55.81276762,0.590077639,0.152563259,0,0.849011481,14.01250935,0,0,25.36674409,1.317971236,15.74358046,0,22.65207099,2.117718658,0,0,FA,FAR,FA,FUR,FAR,FA,FAR,FAR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FAR,FAR,FAR,FUR,FUR,FUR
Flint-Rock,Upper Rock Creek,170102021203,Flat Gulch-Rock Creek,10745.89941,6489.758301,0.828679204,79.03004889,0.765090168,0.765090168,0,0.195093617,15.24984455,0,0,60.39288154,1.217765674,92.3264593,0,23.54271907,1.503892758,0,0,FA,FUR,FA,FUR,FAR,FA,FUR,FAR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Flint-Rock,Upper Flint Creek ,170102020105,Flint Creek,13700.90918,6601.054688,2.750222921,117.2407295,1.558299303,0.097830392,0,1.144649267,22.94574356,0,0,48.17968356,1.776090868,56.66083615,0,41.62023588,2.224686292,0,0,FA,FUR,FA,FUR,FAR,FA,FUR,FAR,FUR,FA,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Upper Clark Fork,Warm Springs Creek,170102010303,Foster Creek,11172.24609,10969.41113,8.59666729,200.7818927,1.03133893,0,0,3.049398899,25.97073746,0,0,98.18447465,1.830379866,11.99696226,0,35.47187295,1.515238309,0,0,FA,FAR,FA,FUR,FAR,FA,FAR,FAR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FAR,FAR,FAR,FUR,FUR,FUR
Flint-Rock,Middle Flint Creek,170102020201,Fred Burr Creek,10092.74609,7404.055664,4.727072716,52.78356934,3.472031832,0,0,0,13.64925194,0,0,73.36016975,0.712900763,73.44993489,0,0,1.179829223,0,0,FA,FUR,FA,FA,FAR,FA,FAR,FAR,FA,FA,FUR,FAR,FAR,FAR,FUR,FAR,FAR,FAR,FAR,FUR,FUR,FUR
Flint-Rock,Upper Flint Creek ,170102020103,Georgetown Lake,12546.4502,6326.263672,2.915402412,234.9252494,0.605995715,2.915402412,0,0.71676445,34.56388855,0,0,50.42273768,3.713491274,20.78600582,0,24.58543792,3.496675102,0,0,FA,FAR,FA,FUR,FUR,FA,FAR,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Upper Clark Fork,Headwaters Silver Bow Creek ,170102010206,German Gulch,26256.40234,20776.13672,33.32906723,165.6081985,5.750581741,0.295801759,0.295801759,9.261742592,36.60474014,1,0,79.12788832,0.797107762,17.25395344,100,27.78878427,1.127593354,1,0,FA,FAR,FUR,FUR,FAR,FAR,FUR,FAR,FUR,FAR,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Flint-Rock,Lower Flint Creek,170102020502,Gird Creek-Flint Creek,14510.35254,3909.160645,3.407151222,102.7861528,0,0,0,2.637261868,11.35828304,0,0,26.94049393,2.629366305,0,0,77.40372223,1.859555492,0,0,FA,FA,FA,FUR,FAR,FA,FAR,FAR,FUR,FA,FAR,FUR,FUR,FAR,FAR,FUR,FAR,FAR,FAR,FAR,FAR,FUR
Upper Clark Fork,Gold Creek- Clark Fork ,170102010806,Gold Creek,32471.85547,18366.3418,13.18750572,518.0773109,1.655010104,0.443060011,0.010288935,6.047664165,98.35069275,0,0,56.56080176,2.820797503,12.54983421,2.322244108,45.85904487,3.427162798,0,0,FA,FAR,FA,FUR,FUR,FA,FAR,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
